Prediction (Amy),Prediction (Bella),Prediction (Colleen),Prediction (Fizz),Prediction (Holly),Prediction (Ister),Prediction (Liboulen),Prediction (Linestra),Prediction (Ziqual),Succeeded?
1,10,81.6,57,69,59,97.7,79.9,18,1
99,6,54.8,54,51,55,67.7,53.1,25,1
99,10,64,56,67,60,70.7,62.3,89,0
99,6,61.7,52,58,51,75.7,60,7,1
1,9,70.7,62,66,56,79.7,69,30,1
1,12,80.7,60,67,57,84.7,79,20,1
1,8,73.8,48,63,58,87.7,72.1,39,1
99,10,66.6,60,58,59,71.7,64.9,26,1
1,10,64.8,53,58,54,70.7,63.1,32,1
1,12,76.5,60,66,56,82.7,74.8,29,1
1,9,63.2,62,58,57,76.7,61.5,63,1
1,17,84.6,60,61,51,83.7,82.9,1,1
99,10,66.5,0,64,58,91.7,64.8,79,1
1,10,71.1,0,64,60,88.7,69.4,99,0
1,13,63,0,59,57,60.7,61.3,7,0
99,8,57,0,52,59,70.7,55.3,9,0
1,8,54.9,0,61,60,54.7,53.2,99,1
1,11,80.1,64,74,59,95.7,78.4,63,1
99,19,87.6,56,68,58,86.7,85.9,24,1
99,13,72.3,54,49,51,84.7,70.6,2,1
99,10,57,55,57,53,52.7,55.3,6,0
1,6,64.6,58,57,51,61.7,62.9,10,1
1,16,76,51,58,56,86.7,74.3,35,0
99,13,69.8,47,64,52,78.7,68.1,20,0
99,13,62.7,65,68,59,65.7,61,53,1
1,9,58.6,58,59,59,54.7,56.9,45,1
1,6,61.8,62,62,53,60.7,60.1,24,0
1,7,51.4,64,59,55,54.7,49.7,50,1
1,14,0,66,69,59,85.7,76.5,80,1
99,13,0,57,63,58,68.7,68.8,15,1
99,10,0,57,66,56,70.7,62.5,42,1
1,11,0,52,54,55,65.7,54.8,50,1
1,11,0,59,67,54,74.7,64,31,0
1,11,72.5,60,60,57,72.7,70.8,34,0
99,11,68.2,64,70,60,50.7,66.5,89,0
99,9,65.4,54,64,55,67.7,63.7,30,0
99,9,68.4,54,58,53,78.7,66.7,12,0
99,9,65.3,64,62,58,72.7,63.6,40,1
1,9,62.9,55,67,59,66.7,61.2,53,1
99,17,89.4,63,69,54,85.7,87.7,19,1
99,13,79.8,65,63,55,87.7,78.1,20,1
1,9,43.7,58,56,59,38.7,42,63,0
99,16,76.8,64,67,53,76.7,75.1,21,1
1,14,66.7,55,68,59,70.7,65,36,1
1,9,63.6,57,65,59,56.7,61.9,71,1
99,11,58.5,67,70,60,61.7,56.8,100,0
1,12,79.1,65,66,57,83.7,77.4,41,1
1,12,76,61,68,54,67.7,74.3,31,0
1,10,64.6,68,73,59,75.7,62.9,81,1
1,9,73.2,65,70,59,75.7,71.5,36,1
1,14,69.2,62,75,57,61.7,67.5,56,1
99,11,60.5,54,69,60,47.7,58.8,90,1
1,3,41.9,61,52,58,0,40.2,48,1
1,9,68.3,48,58,59,0,66.6,9,0
1,14,76.5,56,57,51,0,74.8,5,0
99,14,69.4,49,56,55,0,67.7,10,0
99,10,52.9,55,60,52,40.7,51.2,17,1
99,6,55.3,63,62,54,57.7,53.6,24,1
1,8,54.2,63,59,54,54.7,52.5,28,0
1,17,79.4,50,63,60,81.7,77.7,29,1
99,6,47.5,61,50,52,54.7,45.8,12,0
1,16,76.5,57,68,59,86.7,74.8,36,1
1,10,69.2,64,73,55,67.7,67.5,45,1
1,11,70.9,60,59,55,81.7,69.2,39,0
99,11,70.5,60,61,55,71.7,68.8,25,1
1,12,84,61,69,54,85.7,82.3,35,1
99,7,58,52,51,56,72.7,56.3,29,0
1,11,79.6,64,65,55,85.7,77.9,14,1
1,12,73.5,52,58,54,86.7,71.8,4,1
99,9,70.4,62,64,60,89.7,68.7,69,1
99,8,67.1,64,72,57,74.7,65.4,69,1
99,9,82.7,50,55,56,94.7,81,29,0
1,14,68.7,54,65,57,61.7,67,69,1
1,0,52.4,62,59,55,58.7,50.7,50,1
1,0,70.6,54,64,57,68.7,68.9,55,1
1,0,74.5,59,63,58,84.7,72.8,48,1
1,0,62,54,62,57,61.7,60.3,49,0
1,0,65.3,59,54,56,67.7,63.6,12,1
1,0,82.7,56,66,54,85.7,81,4,1
1,16,83.2,49,61,52,84.7,81.5,12,0
99,12,69.1,53,66,60,79.7,67.4,59,0
1,12,85.7,63,70,52,91.7,84,12,1
99,9,70,47,44,53,84.7,68.3,6,1
99,8,54.9,59,69,60,49.7,53.2,59,1
99,4,45.6,51,47,52,61.7,43.9,19,0
99,12,56.7,62,57,55,54.7,55,24,1
99,11,65.9,62,71,57,74.7,64.2,69,1
99,11,74.7,56,65,55,68.7,73,15,1
99,11,55.6,61,57,58,50.7,53.9,32,0
1,12,78.7,51,64,52,83.7,77,19,0
1,14,71.5,52,63,59,72.7,69.8,80,1
1,8,62.3,62,68,59,67.7,60.6,81,0
1,17,86.7,53,76,56,84.7,85,54,1
99,9,55.8,66,59,57,63.7,54.1,34,0
1,11,50,54,65,53,77.7,0,20,0
1,11,50,60,60,55,74.7,0,45,1
1,11,50,63,65,56,62.7,0,23,1
1,16,50,54,70,56,84.7,0,29,0
1,10,50,52,60,53,77.7,0,18,0
99,12,80.7,65,71,54,84.7,79,35,1
1,7,58.4,50,54,57,52.7,56.7,35,1
99,16,69.7,60,56,53,73.7,68,15,0
99,18,71.2,45,0,57,76.7,69.5,13,1
1,11,70.9,59,0,54,81.7,69.2,27,1
1,15,89.1,49,0,54,88.7,87.4,35,1
1,10,54.5,58,0,60,66.7,52.8,69,1
99,11,73,56,73,57,72.7,71.3,70,1
1,13,63.1,60,58,57,65.7,61.4,21,1
1,13,84.5,49,59,57,84.7,82.8,28,1
99,14,67,70,76,59,75.7,65.3,90,1
1,11,70,54,55,55,86.7,68.3,35,1
1,12,73.9,53,70,58,66.7,72.2,80,1
1,9,53.6,64,65,57,52.7,51.9,56,1
1,14,69.4,52,62,58,61.7,67.7,8,1
1,8,59.4,65,69,57,61.7,57.7,42,0
1,10,66.7,62,59,59,86.7,65,81,1
99,7,61.2,64,63,60,63.7,59.5,89,1
99,9,56.4,64,60,56,48.7,54.7,17,1
1,11,72.4,62,76,57,67.7,70.7,70,0
1,14,78.3,55,65,57,80.7,76.6,41,1
99,11,58.8,57,60,57,66.7,57.1,42,0
99,11,68.2,63,63,56,90.7,66.5,36,0
99,7,53.5,66,62,55,55.7,51.8,39,0
1,13,68.1,54,68,60,57.7,66.4,70,1
1,13,67.6,58,0,56,67.7,65.9,17,0
99,12,66.4,50,0,59,53.7,64.7,44,1
99,11,70.8,59,0,57,56.7,69.1,42,1
1,14,76.4,62,67,58,74.7,74.7,55,1
1,9,60.4,58,65,55,50.7,58.7,35,1
1,11,77.7,66,69,55,79.7,76,39,0
1,11,72.3,61,74,58,67.7,70.6,48,1
99,8,47.2,55,53,57,56.7,45.5,41,0
1,8,73.8,56,61,55,87.7,72.1,50,1
1,7,58.5,58,65,55,67.7,56.8,44,1
1,17,77,51,63,55,85.7,75.3,19,0
99,18,92.8,66,0,55,90.7,90.9,39,1
99,13,84.6,52,0,57,84.7,82.9,34,1
99,16,93.4,50,65,56,93.7,91.5,17,1
99,14,74.3,52,60,51,73.7,72.6,3,0
1,2,48,50,54,55,50.7,46.3,35,0
1,8,57.7,53,50,52,55.7,56,6,0
99,11,60.3,57,59,58,77.7,58.6,63,1
1,12,69.4,48,64,60,74.7,67.7,30,1
99,18,88.5,66,82,57,88.7,86.8,62,1
1,8,66.8,52,57,55,69.7,65.1,30,0
1,9,67.7,66,68,55,73.7,66,50,1
99,13,72.4,46,62,59,74.7,70.7,9,0
99,8,52.2,56,60,59,58.7,50.5,62,0
1,18,90.7,64,80,59,84.7,89,44,1
1,14,88.1,63,71,57,94.7,86.4,28,0
99,14,73.6,57,64,58,73.7,71.9,47,1
99,11,68.2,60,71,59,50.7,66.5,26,0
1,14,72,65,73,58,62.7,70.3,48,1
99,17,84.7,56,70,58,88.7,83,40,0
1,10,57,54,61,59,47.7,55.3,45,1
1,11,63.3,61,69,60,53.7,61.6,39,1
1,16,78.4,61,68,56,77.7,76.7,53,1
1,10,59.1,65,67,58,58.7,57.4,80,1
1,16,83,62,78,57,74.7,81.3,62,1
99,17,91.7,67,73,56,86.7,90,41,1
1,12,81.6,55,66,56,79.7,79.9,41,1
99,4,48,53,46,52,57.7,46.3,15,0
1,13,70.3,60,66,56,68.7,68.6,30,1
1,11,65.3,52,60,59,59.7,63.6,45,0
1,8,62.1,58,63,60,67.7,60.4,69,1
1,15,75.5,54,68,60,82.7,73.8,70,0
1,10,64.3,60,73,59,60.7,62.6,90,1
1,14,83.9,58,70,58,77.7,82.2,24,1
99,8,64.7,55,65,56,73.7,63,59,1
1,15,84.9,60,67,55,91.7,83.2,29,1
1,11,75.7,63,66,58,83.7,74,63,1
1,12,71.7,58,73,57,70.7,70,63,1
